areacode,owned_outright,owned_mortgage,private_rented,social_rented
S00143598,19,22,27,3
S00143599,8,21,5,31
S00143600,26,4,9,5
S00143601,8,20,19,37
S00143602,9,9,23,1
S00143603,7,19,15,26
S00143604,6,4,35,7
S00143605,22,18,4,3
S00143606,26,18,5,0
S00143607,5,7,27,13
S00143608,9,11,11,3
S00143609,21,4,12,2
S00143610,14,15,33,1
S00143611,28,15,5,3
S00143612,28,18,1,0
S00143613,9,6,38,4
S00143614,3,9,32,2
S00143615,8,2,19,20
S00143616,10,6,11,11
S00143617,12,7,46,6
S00143618,23,9,32,1
S00143619,6,5,6,16
S00143620,17,15,3,1
S00143621,12,10,49,5
S00143622,8,3,43,7
S00143623,8,9,21,0
S00143624,7,13,43,19
S00143625,30,14,18,1
S00143626,11,8,2,31
S00143627,22,15,6,0
S00143628,21,16,0,3
S00143629,10,16,11,1
S00143630,6,4,42,1
S00143631,19,9,5,36
S00143632,17,17,3,6
S00143633,3,5,29,1
S00143634,8,13,36,2
S00143635,21,9,27,1
S00143636,34,20,1,1
S00143637,22,10,26,2
S00143638,21,9,35,5
S00143639,5,10,7,22
S00143640,2,4,36,5
S00143641,25,19,4,16
S00143642,7,14,45,8
S00143643,25,21,6,13
S00143644,7,9,45,2
S00143645,31,9,2,3
S00143646,4,4,49,0
S00143647,7,6,28,2
S00143648,17,22,9,13
S00143649,7,11,44,0
S00143650,14,19,33,1
S00143651,1,4,28,13
S00143652,7,24,41,1
S00143653,2,10,19,12
S00143654,18,17,13,14
S00143655,4,6,46,3
S00143656,12,9,26,8
S00143657,6,11,37,10
S00143658,19,9,23,2
S00143659,9,18,18,1
S00143660,1,19,12,23
S00143661,9,9,32,14
S00143662,11,10,11,10
S00143663,26,9,4,6
S00143664,15,10,7,5
S00143665,11,14,4,15
S00143666,7,8,7,41
S00143667,51,2,3,1
S00143668,42,16,4,1
S00143669,23,18,5,4
S00143670,4,1,25,1
S00143671,11,20,24,3
S00143672,8,19,36,1
S00143673,4,0,8,40
S00143674,26,6,6,28
S00143675,7,4,21,0
S00143676,7,19,33,0
S00143677,1,7,2,59
S00143678,10,3,23,4
S00143679,23,17,5,0
S00143680,24,8,34,0
S00143681,24,21,3,21
S00143682,16,12,0,0
S00143683,14,12,17,3
S00143684,15,12,15,15
S00143685,8,11,10,7
S00143686,11,9,0,33
S00143687,36,27,3,2
S00143688,16,8,13,16
S00143689,7,3,27,1
S00143690,25,22,10,2
S00143691,15,20,21,2
S00143692,19,18,15,0
S00143693,8,12,7,1
S00143694,21,12,20,1
S00143695,10,16,35,2
S00143696,9,16,37,1
S00143697,10,9,37,1
S00143698,32,20,6,0
S00143699,12,19,9,3
S00143700,21,15,0,11
S00143701,5,4,25,0
S00143702,5,5,29,2
S00143703,3,1,8,69
S00143704,16,21,40,5
S00143705,6,5,35,41
S00143706,32,13,1,2
S00143707,11,7,12,1
S00143708,20,21,5,0
S00143709,17,14,34,1
S00143710,33,26,3,3
S00143711,19,26,10,3
S00143712,10,15,39,12
S00143713,8,4,19,37
S00143714,4,10,22,1
S00143715,5,3,4,40
S00143716,8,9,38,31
S00143717,2,15,49,7
S00143718,9,3,47,5
S00143719,13,12,39,0
S00143720,19,7,40,1
S00143721,18,7,2,2
S00143722,4,8,31,26
S00143723,25,14,1,2
S00143724,6,19,32,1
S00143725,6,10,27,15
S00143726,23,17,2,1
S00143727,9,14,31,6
S00143728,32,29,2,6
S00143729,24,15,10,1
S00143730,24,20,11,3
S00143731,9,8,4,23
S00143732,16,12,24,3
S00143733,9,5,28,16
S00143734,16,17,40,3
S00143735,6,2,33,0
S00143736,9,4,14,20
S00143737,16,14,21,0
S00143738,13,11,1,12
S00143739,30,20,0,0
S00143740,9,13,16,0
S00143741,4,1,22,35
S00143742,9,16,21,12
S00143743,23,18,4,1
S00143744,9,6,29,1
S00143745,17,12,10,0
S00143746,18,10,27,0
S00143747,11,3,45,5
S00143748,8,19,36,15
S00143749,15,14,31,0
S00143750,13,22,19,3
S00143751,14,20,19,2
S00143752,22,26,5,13
S00143753,23,17,0,0
S00143754,27,22,14,2
S00143755,18,7,24,0
S00143756,7,7,42,2
S00143757,7,13,5,30
S00143758,11,14,28,17
S00143759,16,10,40,2
S00143760,23,20,35,3
S00143761,23,23,5,3
S00143762,28,13,13,1
S00143763,8,10,32,26
S00143764,11,7,29,1
S00143765,9,16,38,6
S00143766,6,16,27,6
S00143767,7,26,33,5
S00143768,20,16,32,1
S00143769,6,10,30,1
S00143770,8,5,22,0
S00143771,24,17,4,0
S00143772,4,6,27,1
S00143773,9,10,21,1
S00143774,4,9,39,2
S00143775,22,19,30,2
S00143776,11,15,22,0
S00143777,10,19,31,0
S00143778,12,17,23,0
S00143779,14,17,19,1
S00143780,12,11,28,1
S00143781,22,19,6,2
S00143782,7,14,22,28
S00143783,11,10,41,1
S00143784,18,23,12,2
S00143785,12,11,26,1
S00143786,7,7,22,0
S00143787,3,1,14,70
S00143788,18,25,7,16
S00143789,13,13,25,0
S00143790,3,1,18,36
S00143791,26,31,10,0
S00143792,11,15,43,5
S00143793,15,7,27,1
S00143794,22,18,23,0
S00143795,33,11,23,0
S00143796,23,37,1,9
S00143797,22,21,5,2
S00143798,44,19,3,1
S00143799,14,21,52,7
S00143800,23,18,0,0
S00143801,7,6,33,6
S00143802,12,16,25,14
S00143803,13,11,35,0
S00143804,9,17,41,0
S00143805,1,4,5,42
S00143806,30,11,3,0
S00143807,9,11,37,3
S00143808,6,11,26,4
S00143809,13,6,27,0
S00143810,12,8,36,4
S00143811,31,16,1,0
S00143812,15,8,1,33
S00143813,5,9,13,2
S00143814,32,18,1,1
S00143815,2,7,21,7
S00143816,12,2,37,2
S00143817,3,12,24,0
S00143818,18,7,39,2
S00143819,8,11,37,4
S00143820,10,15,25,1
S00143821,5,5,3,55
S00143822,11,24,24,2
S00143823,9,5,39,3
S00143824,23,8,53,3
S00143825,23,14,28,1
S00143826,24,14,20,3
S00143827,3,12,54,7
S00143828,12,7,30,1
S00143829,12,4,18,1
S00143830,16,15,11,5
S00143831,27,27,10,4
S00143832,14,4,46,1
S00143833,16,16,10,0
S00143834,10,14,9,1
S00143835,23,22,0,2
S00143836,16,21,17,0
S00143837,1,9,25,11
S00143838,4,10,29,3
S00143839,16,17,17,2
S00143840,0,10,21,13
S00143841,11,14,32,4
S00143842,8,4,26,0
S00143843,12,15,7,1
S00143844,11,35,7,3
S00143845,16,28,15,0
S00143846,17,30,8,1
S00143847,23,21,22,2
S00143848,6,7,22,1
S00143849,5,20,30,3
S00143850,17,14,4,3
S00143851,21,7,21,29
S00143852,12,12,26,0
S00143853,6,11,12,0
S00143854,22,8,2,2
S00143855,18,9,0,0
S00143856,15,17,30,0
S00143857,12,10,29,2
S00143858,8,13,17,15
S00143859,15,6,2,24
S00143860,23,20,5,0
S00143861,14,13,58,10
S00143862,41,34,4,3
S00143863,13,15,23,3
S00143864,26,15,8,1
S00143865,3,9,3,24
S00143866,11,12,24,5
S00143867,35,25,4,0
S00143868,38,31,8,0
S00143869,6,8,28,1
S00143870,13,29,3,19
S00143871,9,7,20,2
S00143872,5,8,20,24
S00143873,23,23,7,4
S00143874,6,8,34,23
S00143875,23,6,8,0
S00143876,17,13,36,1
S00143877,19,13,27,1
S00143878,9,12,29,2
S00143879,16,12,26,0
S00143880,12,22,48,8
S00143881,39,27,1,17
S00143882,24,28,1,0
S00143883,15,16,22,1
S00143884,19,13,7,3
S00143885,6,13,39,18
S00143886,7,12,28,3
S00143887,8,6,27,3
S00143888,35,19,3,2
S00143889,22,28,26,2
S00143890,7,11,6,19
S00143891,33,15,13,0
S00143892,18,10,7,4
S00143893,20,24,15,5
S00143894,17,24,36,0
S00143895,10,12,34,3
S00143896,17,10,31,1
S00143897,9,10,25,1
S00143898,9,5,38,1
S00143899,7,14,34,12
S00143900,7,11,31,9
S00143901,5,8,32,2
S00143902,27,23,4,0
S00143903,14,18,43,1
S00143904,8,10,27,1
S00143905,14,11,15,0
S00143906,22,21,6,0
S00143907,20,9,17,2
S00143908,7,12,26,3
S00143909,4,7,11,14
S00143910,18,11,17,12
S00143911,22,18,2,1
S00143912,16,17,39,4
S00143913,45,11,5,3
S00143914,12,18,1,0
S00143915,7,11,22,4
S00143916,3,11,25,3
S00143917,12,15,19,2
S00143918,10,17,20,1
S00143919,10,14,38,4
S00143920,9,15,16,1
S00143921,21,11,1,0
S00143922,13,16,33,3
S00143923,12,13,42,3
S00143924,37,21,2,2
S00143925,31,28,5,0
S00143926,6,20,15,33
S00143927,15,12,34,1
S00143928,7,16,14,2
S00143929,26,16,5,3
S00143930,18,22,28,0
S00143931,46,26,7,1
S00143932,4,11,22,9
S00143933,2,21,31,3
S00143934,7,10,46,0
S00143935,16,23,12,1
S00143936,25,16,9,3
S00143937,16,15,34,3
S00143938,16,16,34,0
S00143939,22,15,8,0
S00143940,4,9,30,7
S00143941,5,24,39,0
S00143942,5,5,29,6
S00143943,28,51,4,1
S00143944,19,29,20,0
S00143945,7,13,35,2
S00143946,10,17,31,5
S00143947,5,16,5,2
S00143948,11,14,37,1
S00143949,4,1,1,35
S00143950,4,20,24,17
S00143951,8,7,17,1
S00143952,15,17,53,1
S00143953,12,19,26,0
S00143954,15,17,6,1
S00143955,18,17,9,0
S00143956,22,14,8,0
S00143957,6,5,23,0
S00143958,28,12,1,0
S00143959,10,20,12,1
S00143960,20,17,22,0
S00143961,11,5,20,3
S00143962,12,16,12,20
S00143963,40,20,4,7
S00143964,15,31,21,1
S00143965,17,11,12,1
S00143966,2,11,31,2
S00143967,7,3,18,8
S00143968,4,11,28,1
S00143969,30,11,17,0
S00143970,6,15,36,4
S00143971,28,22,7,2
S00143972,15,29,16,2
S00143973,29,33,12,0
S00143974,22,24,14,0
S00143975,5,14,43,7
S00143976,6,10,36,11
S00143977,11,21,34,1
S00143978,14,7,6,15
S00143979,12,30,38,7
S00143980,7,17,62,3
S00143981,21,14,1,0
S00143982,15,12,21,2
S00143983,18,24,27,1
S00143984,21,19,29,1
S00143985,3,14,0,41
S00143986,20,19,12,3
S00143987,7,4,0,28
S00143988,4,9,34,1
S00143989,1,5,38,5
S00143990,7,14,23,2
S00143991,10,7,17,8
S00143992,8,32,2,0
S00143993,11,19,20,2
S00143994,14,26,11,3
S00143995,15,16,11,2
S00143996,19,12,29,1
S00143997,12,11,18,0
S00143998,4,16,9,5
S00143999,15,18,49,3
S00144000,14,17,6,1
S00144001,28,12,2,1
S00144002,19,9,14,1
S00144003,10,35,42,2
S00144004,15,7,21,0
S00144005,2,10,19,1
S00144006,1,18,13,19
S00144007,12,15,53,13
S00144008,11,7,32,1
S00144009,12,10,26,2
S00144010,14,9,27,0
S00144011,17,20,15,4
S00144012,24,20,26,4
S00144013,2,13,27,1
S00144014,15,38,17,0
S00144015,26,20,10,0
S00144016,9,14,22,24
S00144017,32,17,3,0
S00144018,6,58,1,0
S00144019,16,13,30,2
S00144020,5,13,12,1
S00144021,13,17,19,11
S00144022,34,23,9,0
S00144023,27,17,9,0
S00144024,18,17,23,3
S00144025,8,18,11,1
S00144026,17,14,12,0
S00144027,21,29,11,0
S00144028,7,14,63,7
S00144029,12,4,28,1
S00144030,7,12,4,22
S00144031,9,30,16,0
S00144032,14,11,24,24
S00144033,23,24,12,1
S00144034,14,21,10,2
S00144035,13,57,11,1
S00144036,8,13,21,23
S00144037,1,12,11,39
S00144038,18,19,14,2
S00144039,28,13,0,0
S00144040,12,19,21,13
S00144041,7,24,9,9
S00144042,21,17,2,1
S00144043,17,5,5,2
S00144044,14,21,16,1
S00144045,6,11,36,2
S00144046,19,14,25,4
S00144047,17,19,39,1
S00144048,15,15,32,0
S00144049,16,5,9,1
S00144050,16,11,17,1
S00144051,7,21,18,2
S00144052,24,11,0,0
S00144053,34,26,7,0
S00144054,19,19,14,0
S00144055,33,10,2,0
S00144056,7,5,9,41
S00144057,21,22,22,0
S00144058,13,14,16,2
S00144059,21,13,38,2
S00144060,46,14,8,0
S00144061,19,13,14,12
S00144062,5,22,9,12
S00144063,2,8,4,32
S00144064,12,40,4,3
S00144065,5,15,7,38
S00144066,21,17,1,2
S00144067,12,37,2,6
S00144068,6,8,9,50
S00144069,16,48,12,1
S00144070,21,10,6,0
S00144071,13,12,11,0
S00144072,8,12,19,4
S00144073,22,16,15,1
S00144074,3,2,4,38
S00144075,8,6,41,4
S00144076,15,16,27,1
S00144077,16,9,29,1
S00144078,24,24,22,1
S00144079,21,22,19,0
S00144080,5,46,6,1
S00144081,11,13,16,0
S00144082,15,23,9,1
S00144083,8,8,22,0
S00144084,48,23,3,1
S00144085,0,31,13,0
S00144086,1,27,14,13
S00144087,14,10,22,2
S00144088,27,10,4,0
S00144089,2,8,12,44
S00144090,6,28,13,2
S00144091,14,17,10,3
S00144092,5,9,14,12
S00144093,27,14,21,0
S00144094,2,25,10,16
S00144095,8,19,11,2
S00144096,20,29,12,2
S00144097,18,13,16,5
S00144098,20,21,21,0
S00144099,12,12,18,32
S00144100,2,13,1,19
S00144101,15,41,2,2
S00144102,17,22,16,1
S00144103,7,6,11,6
S00144104,9,19,4,1
S00144105,14,14,12,12
S00144106,4,5,10,21
S00144107,15,32,26,1
S00144108,12,16,13,23
S00144109,5,10,29,3
S00144110,2,3,3,30
S00144111,16,49,15,10
S00144112,3,4,16,16
S00144113,9,9,10,24
S00144114,22,34,21,0
S00144115,7,20,7,2
S00144116,10,10,18,3
S00144117,15,13,6,28
S00144118,7,13,39,0
S00144119,11,14,28,6
S00144120,13,12,12,12
S00144121,27,27,11,2
S00144122,12,17,22,1
S00144123,5,18,6,0
S00144124,7,10,15,8
S00144125,16,11,29,1
S00144126,17,20,9,1
S00144127,17,18,8,2
S00144128,15,9,11,9
S00144129,15,8,19,0
S00144130,26,17,10,0
S00144131,7,19,23,2
S00144132,2,10,9,48
S00144133,7,30,22,10
S00144134,35,6,13,2
S00144135,14,9,24,1
S00144136,26,11,7,12
S00144137,0,1,1,27
S00144138,9,5,36,3
S00144139,8,16,33,3
S00144140,15,24,10,0
S00144141,14,16,19,3
S00144142,24,25,8,2
S00144143,17,17,30,1
S00144144,5,15,16,19
S00144145,21,31,15,1
S00144146,21,27,5,1
S00144147,18,21,1,2
S00144148,7,32,24,10
S00144149,14,41,6,2
S00144150,8,15,12,24
S00144151,8,14,7,1
S00144152,5,18,16,2
S00144153,5,6,5,35
S00144154,31,10,16,0
S00144155,24,30,28,2
S00144156,8,32,22,2
S00144157,8,19,34,4
S00144158,12,15,6,26
S00144159,24,16,7,1
S00144160,26,27,16,1
S00144161,16,13,11,0
S00144162,21,2,9,27
S00144163,25,20,4,2
S00144164,11,23,29,0
S00144165,23,23,20,7
S00144166,15,24,9,3
S00144167,12,13,19,3
S00144168,14,40,30,1
S00144169,27,22,10,1
S00144170,15,14,31,2
S00144171,22,28,18,2
S00144172,22,18,11,1
S00144173,23,28,18,1
S00144174,50,24,9,2
S00144175,9,14,21,6
S00144176,2,16,8,25
S00144177,7,7,28,4
S00144178,1,23,23,7
S00144179,34,20,14,5
S00144180,7,19,14,21
S00144181,7,38,8,0
S00144182,3,10,2,30
S00144183,10,8,14,7
S00144184,1,1,19,35
S00144185,8,10,15,14
S00144186,24,15,1,0
S00144187,57,25,2,2
S00144188,23,7,4,20
S00144189,33,17,1,1
S00144190,4,32,3,9
S00144191,50,13,15,0
S00144192,11,8,21,17
S00144193,5,9,11,4
S00144194,14,16,26,0
S00144195,2,9,3,17
S00144196,8,13,13,0
S00144197,19,29,24,5
S00144198,15,21,9,11
S00144199,22,36,18,1
S00144200,20,6,5,1
S00144201,2,5,14,26
S00144202,28,6,5,1
S00144203,2,5,6,42
S00144204,19,31,7,18
S00144205,18,12,8,8
S00144206,7,14,39,9
S00144207,8,16,12,18
S00144208,3,9,1,31
S00144209,23,14,7,0
S00144210,7,10,16,11
S00144211,6,7,12,11
S00144212,22,4,10,0
S00144213,8,8,9,7
S00144214,52,1,10,5
S00144215,11,13,8,21
S00144216,13,52,4,1
S00144217,21,10,23,5
S00144218,10,7,28,1
S00144219,11,9,16,22
S00144220,11,3,13,32
S00144221,9,17,14,4
S00144222,10,12,15,3
S00144223,5,24,16,0
S00144224,30,13,7,7
S00144225,11,17,14,0
S00144226,11,11,11,10
S00144227,11,17,29,0
S00144228,64,12,5,1
S00144229,28,17,3,0
S00144230,21,17,0,3
S00144231,18,7,24,1
S00144232,15,24,4,1
S00144233,1,2,12,28
S00144234,18,18,17,3
S00144235,54,15,4,1
S00144236,11,13,21,10
S00144237,4,13,26,8
S00144238,11,37,29,0
S00144239,20,15,29,3
S00144240,5,42,1,1
S00144241,13,8,4,23
S00144242,7,12,23,4
S00144243,9,4,10,10
S00144244,16,5,15,3
S00144245,39,12,15,1
S00144246,10,16,17,7
S00144247,37,27,7,1
S00144248,30,11,4,6
S00144249,8,14,21,18
S00144250,3,21,4,50
S00144251,14,10,19,14
S00144252,7,8,6,18
S00144253,17,21,16,6
S00144254,18,23,12,2
S00144255,27,16,3,1
S00144256,21,12,7,1
S00144257,37,28,4,3
S00144258,0,38,2,2
S00144259,0,2,24,43
S00144260,0,13,21,4
S00144261,11,5,18,1
S00144262,1,0,20,19
S00144263,11,18,11,1
S00144264,9,13,2,11
S00144265,6,7,10,34
S00144266,6,1,9,27
S00144267,4,5,7,30
S00144268,7,9,21,2
S00144269,3,1,20,21
S00144270,10,22,4,2
S00144271,16,9,21,12
S00144272,10,17,17,1
S00144273,12,24,33,2
S00144274,20,13,27,16
S00144275,14,16,12,7
S00144276,20,24,15,13
S00144277,15,15,4,18
S00144278,11,12,22,11
S00144279,13,25,36,2
S00144280,5,17,17,3
S00144281,3,3,27,41
S00144282,10,18,16,35
S00144283,4,8,44,5
S00144284,9,19,12,2
S00144285,33,31,8,1
S00144286,16,20,29,0
S00144287,41,29,16,1
S00144288,1,44,9,9
S00144289,13,10,29,16
S00144290,27,18,22,0
S00144291,14,11,11,10
S00144292,7,12,8,10
S00144293,15,19,23,8
S00144294,21,7,15,11
S00144295,12,12,0,2
S00144296,16,27,16,6
S00144297,13,8,7,2
S00144298,5,7,14,30
S00144299,33,12,4,1
S00144300,0,9,0,27
S00144301,3,10,51,4
S00144302,0,2,14,17
S00144303,6,7,5,49
S00144304,6,27,36,3
S00144305,27,23,2,3
S00144306,7,24,8,1
S00144307,12,4,12,2
S00144308,22,19,13,5
S00144309,4,4,37,5
S00144310,9,20,19,1
S00144311,6,21,27,3
S00144312,47,12,8,2
S00144313,9,21,9,25
S00144314,21,15,2,1
S00144315,15,26,16,2
S00144316,28,8,14,4
S00144317,26,21,2,0
S00144318,27,10,7,0
S00144319,29,9,0,1
S00144320,36,15,6,1
S00144321,8,22,11,3
S00144322,20,16,3,0
S00144323,12,21,16,3
S00144324,5,4,7,31
S00144325,15,26,10,15
S00144326,23,34,17,3
S00144327,1,8,3,33
S00144328,27,28,5,0
S00144329,28,7,4,1
S00144330,15,12,11,2
S00144331,34,3,10,1
S00144332,5,19,22,1
S00144333,0,12,12,7
S00144334,14,12,9,5
S00144335,12,9,1,13
S00144336,40,37,0,1
S00144337,15,18,6,1
S00144338,9,9,7,45
S00144339,5,10,11,18
S00144340,28,12,3,3
S00144341,4,5,11,44
S00144342,10,18,23,10
S00144343,19,12,3,0
S00144344,5,2,6,69
S00144345,1,2,18,33
S00144346,28,15,10,0
S00144347,9,11,16,13
S00144348,9,17,17,1
S00144349,15,1,5,22
S00144350,5,4,12,27
S00144351,34,11,1,1
S00144352,0,14,1,49
S00144353,3,29,44,4
S00144354,37,9,4,1
S00144355,50,15,5,3
S00144356,12,17,11,11
S00144357,39,17,3,1
S00144358,7,3,2,47
S00144359,10,11,10,24
S00144360,21,13,15,26
S00144361,0,1,33,11
S00144362,1,3,4,39
S00144363,13,20,24,2
S00144364,6,22,43,5
S00144365,11,15,11,3
S00144366,22,18,44,1
S00144367,13,12,3,24
S00144368,3,14,4,38
S00144369,20,17,3,5
S00144370,15,19,5,2
S00144371,30,15,21,3
S00144372,22,18,6,7
S00144373,18,19,0,0
S00144374,30,14,1,1
S00144375,9,16,15,21
S00144376,19,5,1,2
S00144377,2,4,10,57
S00144378,2,10,10,47
S00144379,14,1,5,9
S00144380,1,2,42,11
S00144381,4,1,8,34
S00144382,17,20,15,1
S00144383,7,14,16,6
S00144384,41,27,11,0
S00144385,5,4,17,16
S00144386,12,9,8,7
S00144387,15,6,3,14
S00144388,4,17,7,14
S00144389,12,15,9,28
S00144390,5,14,15,22
S00144391,26,24,3,1
S00144392,0,7,11,69
S00144393,10,12,3,36
S00144394,5,9,13,29
S00144395,2,8,2,29
S00144396,29,23,6,0
S00144397,10,26,20,1
S00144398,38,20,16,0
S00144399,30,15,30,3
S00144400,28,19,8,1
S00144401,5,10,4,17
S00144402,8,10,5,28
S00144403,4,22,5,16
S00144404,2,15,13,8
S00144405,4,1,6,19
S00144406,11,19,3,35
S00144407,15,21,1,8
S00144408,4,11,8,28
S00144409,18,20,11,11
S00144410,25,19,11,0
S00144411,12,10,21,3
S00144412,26,5,4,6
S00144413,36,11,8,2
S00144414,2,24,7,40
S00144415,17,14,16,1
S00144416,1,4,13,38
S00144417,11,22,19,10
S00144418,23,28,7,4
S00144419,11,13,12,6
S00144420,3,3,7,40
S00144421,19,23,16,3
S00144422,16,7,6,0
S00144423,0,1,1,26
S00144424,2,3,4,25
S00144425,17,14,8,7
S00144426,25,21,4,1
S00144427,25,18,3,32
S00144428,22,24,22,1
S00144429,2,10,1,17
S00144430,2,2,18,21
S00144431,19,10,13,9
S00144432,20,12,2,16
S00144433,5,10,7,43
S00144434,2,5,3,24
S00144435,32,20,6,0
S00144436,7,22,10,37
S00144437,4,4,0,38
S00144438,15,12,21,25
S00144439,24,14,15,2
S00144440,8,13,12,3
S00144441,8,6,9,26
S00144442,5,67,4,3
S00144443,23,11,7,24
S00144444,8,1,2,38
S00144445,2,33,26,23
S00144446,24,6,1,0
S00144447,34,19,10,3
S00144448,0,3,5,38
S00144449,9,17,24,18
S00144450,21,18,13,0
S00144451,3,9,4,14
S00144452,6,11,11,0
S00144453,27,21,12,1
S00144454,13,13,31,2
S00144455,31,14,28,3
S00144456,10,9,22,1
S00144457,7,8,7,21
S00144458,25,10,5,1
S00144459,34,15,10,5
S00144460,18,16,21,5
S00144461,15,11,11,1
S00144462,4,3,4,45
S00144463,25,27,19,0
S00144464,15,2,5,20
S00144465,0,26,11,13
S00144466,23,18,10,11
S00144467,18,20,0,0
S00144468,26,15,4,8
S00144469,15,16,15,14
S00144470,2,0,4,22
S00144471,31,13,1,2
S00144472,5,14,4,22
S00144473,14,10,22,1
S00144474,20,11,48,3
S00144475,16,25,3,3
S00144476,26,7,13,3
S00144477,24,9,16,8
S00144478,26,15,4,0
S00144479,1,5,2,51
S00144480,23,22,11,2
S00144481,4,22,8,38
S00144482,8,3,1,46
S00144483,23,17,27,3
S00144484,22,25,1,2
S00144485,15,12,23,5
S00144486,11,16,11,1
S00144487,30,18,7,3
S00144488,22,14,9,0
S00144489,40,16,16,1
S00144490,13,30,27,6
S00144491,5,5,4,26
S00144492,11,14,26,1
S00144493,13,4,1,27
S00144494,75,5,1,2
S00144495,13,8,25,6
S00144496,1,39,4,1
S00144497,16,4,2,21
S00144498,14,27,18,2
S00144499,6,9,37,1
S00144500,40,24,7,1
S00144501,22,15,10,0
S00144502,11,18,8,5
S00144503,12,12,10,2
S00144504,3,18,4,29
S00144505,15,13,5,19
S00144506,10,17,18,1
S00144507,8,38,15,20
S00144508,8,8,41,2
S00144509,32,7,21,17
S00144510,0,0,1,59
S00144511,17,12,3,7
S00144512,22,12,0,1
S00144513,4,28,9,9
S00144514,5,19,18,14
S00144515,48,28,6,0
S00144516,19,23,10,9
S00144517,22,17,14,3
S00144518,1,3,21,36
S00144519,28,30,5,0
S00144520,11,23,14,14
S00144521,16,15,21,1
S00144522,5,31,3,1
S00144523,28,13,8,1
S00144524,20,17,14,3
S00144525,19,12,6,1
S00144526,20,25,8,1
S00144527,35,15,10,2
S00144528,8,5,29,2
S00144529,0,2,0,46
S00144530,10,40,3,26
S00144531,24,13,3,6
S00144532,24,19,4,0
S00144533,30,16,22,3
S00144534,28,22,6,1
S00144535,4,17,4,10
S00144536,32,20,13,9
S00144537,20,9,7,0
S00144538,13,14,4,2
S00144539,2,16,18,15
S00144540,20,16,16,7
S00144541,28,26,6,8
S00144542,2,20,4,11
S00144543,17,38,0,1
S00144544,17,14,22,3
S00144545,15,18,2,21
S00144546,17,25,12,1
S00144547,38,20,10,1
S00144548,3,40,1,3
S00144549,5,14,3,41
S00144550,15,45,3,0
S00144551,11,22,20,3
S00144552,17,18,2,1
S00144553,3,1,1,74
S00144554,13,11,23,1
S00144555,30,23,5,2
S00144556,23,28,3,0
S00144557,11,14,3,2
S00144558,26,17,21,2
S00144559,21,17,21,0
S00144560,8,32,11,5
S00144561,16,26,2,0
S00144562,20,8,37,2
S00144563,19,8,5,17
S00144564,12,12,21,1
S00144565,25,22,23,0
S00144566,21,9,16,0
S00144567,20,7,1,0
S00144568,9,12,7,3
S00144569,26,19,3,0
S00144570,12,7,13,3
S00144571,29,20,4,3
S00144572,2,2,4,74
S00144573,18,23,5,2
S00144574,37,6,3,1
S00144575,11,14,52,5
S00144576,12,11,1,10
S00144577,32,14,2,0
S00144578,9,17,5,8
S00144579,18,18,10,1
S00144580,11,12,6,1
S00144581,12,18,5,11
S00144582,32,28,7,0
S00144583,22,15,0,0
S00144584,41,20,12,2
S00144585,23,26,4,0
S00144586,27,13,6,1
S00144587,14,17,1,4
S00144588,29,16,2,0
S00144589,30,19,5,1
S00144590,32,22,1,0
S00144591,42,10,16,4
S00144592,12,12,5,14
S00144593,11,17,6,9
S00144594,21,23,10,0
S00144595,34,8,22,16
S00144596,13,12,9,12
S00144597,21,14,2,0
S00144598,7,10,26,2
S00144599,22,18,1,2
S00144600,34,15,5,3
S00144601,27,17,1,0
S00144602,30,22,18,4
S00144603,6,16,26,11
S00144604,18,25,24,4
S00144605,7,22,10,5
S00144606,22,17,13,1
S00144607,20,28,7,5
S00144608,19,15,28,1
S00144609,1,47,5,7
S00144610,36,15,1,0
S00144611,53,10,5,1
S00144612,11,7,6,19
S00144613,24,16,0,2
S00144614,44,21,4,3
S00144615,2,20,11,7
S00144616,14,13,37,1
S00144617,27,24,3,1
S00144618,21,14,10,1
S00144619,9,12,5,6
S00144620,13,18,5,1
S00144621,27,22,13,8
S00144622,34,19,24,5
S00144623,22,23,6,1
S00144624,11,10,28,5
S00144625,4,37,4,13
S00144626,24,16,1,1
S00144627,39,17,3,0
S00144628,5,7,8,16
S00144629,24,13,2,1
S00144630,2,6,21,8
S00144631,9,6,6,26
S00144632,1,3,11,50
S00144633,12,12,31,1
S00144634,3,4,10,38
S00144635,18,11,14,2
S00144636,4,23,13,18
S00144637,8,11,19,3
S00144638,4,61,11,1
S00144639,20,21,8,13
S00144640,34,17,2,2
S00144641,16,21,2,1
S00144642,15,9,37,1
S00144643,6,13,33,0
S00144644,30,16,9,1
S00144645,29,17,0,2
S00144646,22,15,11,2
S00144647,44,28,4,2
S00144648,19,17,19,2
S00144649,18,13,12,4
S00144650,15,27,11,0
S00144651,15,17,1,7
S00144652,10,13,32,1
S00144653,3,1,9,64
S00144654,34,16,1,3
S00144655,19,9,28,4
S00144656,2,49,7,1
S00144657,25,13,0,0
S00144658,37,32,4,1
S00144659,10,30,22,2
S00144660,11,16,13,1
S00144661,21,14,6,4
S00144662,23,24,3,0
S00144663,20,23,10,5
S00144664,37,27,13,1
S00144665,24,15,3,0
S00144666,12,17,8,0
S00144667,1,8,7,18
S00144668,23,12,2,0
S00144669,10,14,19,3
S00144670,11,16,7,2
S00144671,1,30,4,0
