areacode,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize_6,hhsize_7,hhsize_8
S00137846,25,12,7,5,0,1,1,2
S00137847,38,12,4,0,0,0,1,1
S00137848,38,19,8,4,2,0,0,0
S00137849,45,11,5,2,2,0,0,1
S00137850,32,19,5,0,0,0,1,0
S00137851,16,10,10,1,2,0,0,2
S00137852,13,26,7,6,3,0,0,0
S00137853,3,16,7,6,0,2,1,1
S00137854,20,27,2,10,0,0,0,0
S00137855,26,34,6,11,1,0,0,0
S00137856,10,21,7,7,1,0,0,1
S00137857,12,23,4,5,0,0,0,0
S00137858,49,20,11,4,0,0,0,0
S00137859,4,14,10,12,8,0,0,0
S00137860,30,11,8,4,0,0,1,0
S00137861,17,36,5,7,5,3,1,0
S00137862,23,22,8,8,1,2,0,0
S00137863,41,6,5,3,0,1,0,0
S00137864,4,18,0,8,2,1,1,1
S00137865,16,31,7,13,4,1,0,0
S00137866,13,33,9,12,4,0,0,0
S00137867,10,26,5,7,4,0,0,0
S00137868,23,9,1,2,3,0,1,1
S00137869,12,15,14,9,9,1,1,1
S00137870,22,7,2,6,1,0,2,2
S00137871,35,20,4,6,1,0,1,1
S00137872,1,6,10,9,3,1,1,0
S00137873,43,7,5,1,0,0,2,0
S00137874,35,14,6,0,0,0,0,0
S00137875,25,13,7,5,0,1,0,1
S00137876,7,23,11,7,4,1,1,0
S00137877,15,24,21,18,7,3,0,0
S00137878,20,16,5,4,1,0,0,0
S00137879,21,10,8,6,5,1,0,0
S00137880,33,10,3,4,1,0,1,0
S00137881,6,11,4,4,1,0,0,1
S00137882,34,17,3,5,2,0,0,0
S00137883,30,34,10,8,1,1,0,0
S00137884,22,10,2,3,0,2,1,0
S00137885,27,9,10,0,0,0,1,0
S00137886,33,9,4,0,0,0,0,0
S00137887,11,22,14,22,1,2,2,0
S00137888,29,14,2,0,3,0,0,0
S00137889,19,15,8,0,0,0,0,0
S00137890,51,16,4,5,2,1,1,1
S00137891,47,14,3,1,1,1,1,1
S00137892,8,19,9,13,2,1,0,0
S00137893,12,21,7,8,0,0,0,0
S00137894,9,20,10,10,4,1,0,0
S00137895,24,12,7,4,0,1,0,0
S00137896,31,10,3,5,2,0,1,0
S00137897,16,22,11,9,1,1,1,0
S00137898,9,20,9,11,2,0,0,0
S00137899,17,29,9,9,1,1,0,1
S00137900,32,22,12,6,2,0,0,1
S00137901,20,12,5,3,1,2,0,0
S00137902,18,15,2,2,1,1,1,2
S00137903,34,19,5,6,0,1,1,1
S00137904,8,20,9,4,2,0,1,0
S00137905,30,36,3,2,1,0,1,1
S00137906,24,22,4,1,0,0,0,0
S00137907,20,20,10,5,4,1,0,0
S00137908,9,11,8,3,2,1,0,0
S00137909,10,41,6,9,2,0,0,1
S00137910,10,20,9,7,0,3,0,0
S00137911,32,28,10,7,1,0,2,0
S00137912,23,11,5,0,2,1,1,0
S00137913,21,13,7,0,0,0,0,0
S00137914,18,16,3,7,0,0,0,3
S00137915,13,26,10,13,4,7,0,1
S00137916,10,9,6,2,1,1,2,0
S00137917,20,23,7,10,1,2,0,0
S00137918,32,33,8,1,7,1,0,0
S00137919,19,12,8,6,3,0,0,0
S00137920,5,11,13,27,2,0,1,0
S00137921,9,14,11,27,4,1,0,0
S00137922,26,20,4,6,0,0,0,0
S00137923,19,23,5,8,0,1,0,0
S00137924,27,19,7,11,3,1,0,0
S00137925,3,13,8,5,1,1,0,0
S00137926,24,22,6,7,1,0,0,0
S00137927,10,17,13,10,3,1,0,1
S00137928,9,10,3,3,2,0,0,0
S00137929,28,30,13,4,0,0,1,0
S00137930,13,16,4,1,2,0,0,1
S00137931,15,15,3,5,1,3,1,0
S00137932,19,23,12,8,1,2,0,0
S00137933,15,10,8,5,2,0,0,0
S00137934,16,24,5,4,1,1,1,1
S00137935,6,16,5,8,0,0,0,0
S00137936,12,27,8,14,6,3,1,0
S00137937,18,15,11,6,5,1,2,0
S00137938,6,15,7,4,0,0,0,0
S00137939,9,14,3,7,4,0,1,0
S00137940,12,27,12,9,8,0,0,0
S00137941,3,11,8,5,5,1,1,0
S00137942,26,25,9,6,1,2,0,0
S00137943,19,18,8,2,6,1,0,0
S00137944,10,11,5,8,1,0,0,0
S00137945,12,7,4,4,1,1,0,1
S00137946,4,16,4,3,0,0,1,0
S00137947,12,17,8,16,2,0,0,0
S00137948,20,24,12,5,0,0,0,0
S00137949,11,31,9,7,2,2,1,0
S00137950,7,19,6,3,1,0,0,0
S00137951,20,17,7,7,0,0,1,0
S00137952,8,16,15,11,3,0,0,0
S00137953,15,32,12,8,3,0,1,0
S00137954,13,17,10,6,5,0,0,1
S00137955,10,21,10,3,2,0,1,0
S00137956,8,27,8,3,4,0,0,1
S00137957,8,20,7,6,3,0,0,0
S00137958,5,23,6,10,4,0,0,0
S00137959,11,18,8,8,5,2,1,0
S00137960,12,19,6,5,1,0,0,0
S00137961,17,23,18,12,6,0,0,0
S00137962,6,24,10,6,0,0,0,0
S00137963,10,19,6,6,0,0,1,0
S00137964,9,33,9,9,3,2,1,1
S00137965,9,23,4,8,1,1,1,0
S00137966,9,27,12,9,5,0,0,0
S00137967,10,30,10,3,7,2,1,0
S00137968,12,19,4,5,1,0,0,0
S00137969,11,18,5,3,3,0,0,0
S00137970,14,30,10,10,6,1,0,0
S00137971,22,12,3,3,3,0,0,0
S00137972,9,20,7,3,1,2,1,0
S00137973,21,28,10,9,5,0,0,0
S00137974,5,21,15,11,1,2,2,1
S00137975,19,3,5,3,2,0,1,1
S00137976,6,22,10,11,1,1,0,1
S00137977,20,20,10,3,0,2,0,1
S00137978,10,32,13,11,1,2,0,0
S00137979,13,7,9,1,2,1,1,0
S00137980,8,8,8,2,1,2,0,0
S00137981,7,17,7,9,3,1,0,0
S00137982,23,20,3,3,0,1,2,0
S00137983,11,14,10,10,3,2,2,0
S00137984,19,14,4,2,0,1,0,1
S00137985,12,15,6,3,1,0,0,0
S00137986,20,31,5,11,2,1,1,0
S00137987,19,23,8,10,2,1,0,0
S00137988,18,23,12,0,3,1,0,1
S00137989,6,17,6,12,1,0,1,1
S00137990,10,22,10,11,1,0,1,0
S00137991,11,17,9,4,5,0,0,0
S00137992,11,16,6,3,1,0,0,0
S00137993,17,25,11,10,0,1,0,1
S00137994,10,11,14,10,4,0,0,0
S00137995,15,20,13,9,2,1,0,0
S00137996,5,13,5,8,0,0,1,1
S00137997,40,18,7,3,0,0,1,0
S00137998,10,25,5,4,0,0,0,0
S00137999,13,21,4,4,1,1,1,0
S00138000,13,25,10,6,1,0,1,0
S00138001,14,24,8,5,8,3,0,1
S00138002,8,22,9,6,1,1,0,2
S00138003,14,25,10,18,2,1,0,1
S00138004,26,23,7,6,5,2,0,0
S00138005,8,33,9,9,4,1,0,0
S00138006,13,16,8,6,4,1,0,0
S00138007,11,21,5,3,0,1,0,0
S00138008,34,29,1,7,1,0,0,1
S00138009,19,27,17,8,3,1,0,0
S00138010,10,14,10,6,4,1,0,1
S00138011,29,19,8,4,3,1,0,1
S00138012,30,15,7,1,2,0,2,0
S00138013,21,27,9,7,0,2,0,1
S00138014,30,7,2,3,1,0,0,0
S00138015,32,18,8,6,3,0,0,0
S00138016,18,18,4,8,4,0,1,0
S00138017,20,25,5,14,4,0,1,0
S00138018,27,11,3,2,0,1,0,1
S00138019,25,13,3,1,1,0,1,0
S00138020,17,28,6,1,2,1,0,0
S00138021,33,10,5,4,0,0,0,2
S00138022,18,14,5,5,0,2,0,0
S00138023,16,26,10,9,1,3,0,0
S00138024,34,19,4,5,1,0,0,0
S00138025,18,28,8,7,3,0,0,0
S00138026,28,22,4,5,1,1,0,0
S00138027,8,21,5,6,0,0,0,0
S00138028,21,34,10,10,4,1,0,0
S00138029,24,10,8,2,3,1,1,0
S00138030,42,29,7,4,2,1,0,0
S00138031,56,15,2,1,1,0,1,0
S00138032,52,12,3,5,1,0,0,1
S00138033,29,22,4,3,3,2,0,0
S00138034,16,18,4,6,6,0,1,0
S00138035,43,22,10,2,1,1,2,0
S00138036,4,13,5,1,3,0,3,0
S00138037,31,14,2,4,0,3,0,0
S00138038,9,11,4,4,1,1,0,0
S00138039,11,19,1,5,3,0,3,0
S00138040,12,20,5,2,3,0,1,1
S00138041,10,22,7,5,4,0,0,0
S00138042,9,27,13,7,2,3,0,2
S00138043,30,18,10,3,0,0,0,0
S00138044,17,15,2,9,0,0,1,1
S00138045,45,17,2,3,0,2,0,0
S00138046,44,21,5,2,0,0,0,0
S00138047,17,23,8,18,1,1,0,0
S00138048,10,10,4,6,2,1,0,1
S00138049,8,28,9,8,5,0,0,1
S00138050,12,34,9,8,4,1,0,0
S00138051,13,22,9,7,2,0,2,0
S00138052,12,29,9,7,0,1,0,0
S00138053,13,17,3,8,0,0,0,0
S00138054,13,35,11,20,5,0,1,0
S00138055,15,18,9,4,1,0,1,1
S00138056,13,11,8,11,2,2,1,0
S00138057,21,18,7,1,0,1,0,0
S00138058,17,23,3,6,4,0,0,2
S00138059,45,15,6,3,2,0,1,1
S00138060,5,11,3,7,1,0,1,0
S00138061,10,11,8,4,5,0,0,1
S00138062,32,27,19,4,3,0,0,0
S00138063,11,15,2,5,1,0,0,0
S00138064,7,13,2,3,3,1,1,0
S00138065,10,10,5,3,3,0,0,0
S00138066,14,25,9,6,2,0,2,0
S00138067,5,6,4,6,5,1,1,1
S00138068,5,20,6,5,0,0,1,3
S00138069,17,37,13,9,0,1,1,0
S00138070,14,17,5,3,0,1,1,0
S00138071,17,8,5,6,0,0,1,0
S00138072,2,14,11,4,3,2,0,0
S00138073,21,32,11,16,5,3,0,1
S00138074,33,10,9,4,0,2,0,0
S00138075,14,14,6,11,1,1,0,0
S00138076,8,25,4,12,1,0,0,0
S00138077,16,7,3,3,3,0,0,0
S00138078,17,17,2,0,0,0,0,0
S00138079,10,23,10,11,1,3,1,0
S00138080,21,22,6,8,0,1,0,0
S00138081,23,20,7,3,0,0,1,0
S00138082,24,28,5,3,1,0,0,1
S00138083,10,17,4,1,1,0,1,0
S00138084,14,19,3,0,2,1,0,0
S00138085,11,37,10,4,6,2,0,2
S00138086,7,22,15,11,0,1,1,0
S00138087,18,17,19,5,3,0,1,0
S00138088,11,24,7,3,0,1,0,1
S00138089,25,29,10,6,1,0,1,0
S00138090,30,15,7,1,0,0,0,0
S00138091,21,26,8,8,2,0,0,0
S00138092,20,26,13,5,0,0,0,0
S00138093,7,19,6,3,3,0,0,1
S00138094,4,18,13,17,8,0,0,0
S00138095,9,15,5,5,1,0,1,0
S00138096,11,25,13,9,2,1,0,0
S00138097,15,21,3,1,0,0,0,0
S00138098,11,31,7,10,0,0,0,0
S00138099,8,18,7,11,2,0,0,1
S00138100,21,27,11,3,2,0,1,0
S00138101,7,21,7,5,2,3,0,1
S00138102,2,14,6,5,4,0,1,1
S00138103,6,23,10,10,5,1,0,0
S00138104,5,14,2,6,1,0,1,1
S00138105,11,25,1,10,1,0,0,0
S00138106,20,24,12,6,2,2,0,0
S00138107,8,24,7,3,3,0,1,1
S00138108,13,13,4,13,0,0,1,0
S00138109,20,15,9,12,0,0,0,0
S00138110,15,26,9,9,3,0,0,1
S00138111,16,17,6,10,2,1,1,0
S00138112,17,27,8,4,5,0,1,1
S00138113,13,24,11,10,1,1,0,1
S00138114,9,14,4,8,3,1,0,0
S00138115,14,38,12,14,6,1,0,1
S00138116,10,27,6,12,0,0,0,0
S00138117,19,29,10,5,2,1,0,0
S00138118,13,35,12,11,0,1,1,0
S00138119,19,37,14,10,1,1,0,0
S00138120,9,23,9,10,3,0,0,0
S00138121,8,19,7,8,4,1,0,1
S00138122,24,17,3,6,2,0,1,0
S00138123,6,17,9,8,0,3,0,1
S00138124,14,22,18,13,4,1,1,0
S00138125,22,30,14,12,8,1,2,0
S00138126,12,33,12,11,0,3,1,1
S00138127,7,16,5,15,4,0,0,0
S00138128,12,25,15,16,5,0,0,0
S00138129,14,28,12,4,0,1,0,1
S00138130,26,23,11,11,3,0,2,1
S00138131,22,21,8,5,1,1,0,0
S00138132,5,15,4,12,6,1,1,0
S00138133,8,17,4,3,0,2,0,0
S00138134,21,28,6,1,3,0,0,2
S00138135,13,34,10,16,5,2,0,1
S00138136,42,31,10,3,0,0,0,0
S00138137,12,24,13,18,3,1,0,0
S00138138,5,23,18,24,8,1,1,0
S00138139,27,18,4,2,0,0,0,0
S00138140,23,20,8,10,2,1,0,0
S00138141,9,23,2,4,2,1,0,1
S00138142,6,12,4,10,0,0,0,0
S00138143,12,25,10,10,1,0,0,1
S00138144,5,15,12,22,9,2,1,0
S00138145,10,21,7,13,1,3,2,0
S00138146,2,21,16,17,4,1,1,1
S00138147,17,27,11,6,1,1,0,0
S00138148,4,13,11,21,7,1,0,0
S00138149,21,33,14,4,3,1,0,0
S00138150,9,15,4,3,0,0,1,0
S00138151,19,21,11,13,3,0,0,0
S00138152,12,15,20,14,7,0,0,0
S00138153,6,10,6,7,1,1,1,0
S00138154,6,14,5,8,1,0,0,0
S00138155,6,17,3,9,3,0,1,0
S00138156,7,17,13,10,4,0,0,0
S00138157,18,26,9,17,7,3,0,0
S00138158,12,16,8,3,2,0,1,0
S00138159,13,24,6,4,3,0,0,0
S00138160,27,33,14,3,0,1,1,0
S00138161,8,23,8,11,2,0,0,0
S00138162,33,27,15,15,3,1,0,0
S00138163,13,15,16,20,5,1,0,1
S00138164,9,27,13,10,1,0,0,1
S00138165,5,17,12,17,2,0,0,0
S00138166,19,29,9,5,4,0,1,1
S00138167,9,15,8,6,1,1,0,1
S00138168,9,21,1,5,1,0,0,1
S00138169,37,22,8,13,3,1,3,1
S00138170,11,20,7,4,1,0,2,0
S00138171,7,22,5,7,3,0,0,1
S00138172,23,19,8,1,4,0,1,0
S00138173,19,40,7,7,0,0,0,2
S00138174,22,21,5,4,1,2,1,0
S00138175,13,13,12,13,0,0,0,0
S00138176,20,16,3,9,4,0,0,1
S00138177,16,21,7,6,0,0,0,0
S00138178,23,17,8,6,1,0,0,0
S00138179,35,16,2,0,2,0,0,0
S00138180,18,10,16,9,4,1,0,1
S00138181,20,6,5,3,3,1,0,2
S00138182,9,28,9,5,0,0,1,0
S00138183,13,18,11,4,0,1,0,0
S00138184,5,5,6,11,1,2,0,0
S00138185,11,22,8,5,1,0,0,2
S00138186,15,26,5,2,0,1,0,0
S00138187,11,14,7,6,1,0,0,1
S00138188,27,28,2,7,1,1,0,0
S00138189,17,22,9,10,0,0,0,0
S00138190,13,8,5,4,0,0,0,1
S00138191,27,32,7,3,0,0,0,0
S00138192,13,17,12,7,2,0,0,1
S00138193,25,26,4,6,0,0,0,0
S00138194,5,26,16,8,2,0,0,0
S00138195,7,18,4,10,1,1,1,0
S00138196,29,25,4,4,1,0,0,0
S00138197,12,15,3,4,3,0,1,0
S00138198,26,20,4,8,3,0,3,1
S00138199,40,10,3,2,0,0,0,0
S00138200,10,19,5,8,4,0,0,0
S00138201,43,3,2,0,0,0,0,1
S00138202,27,24,11,12,1,0,1,0
S00138203,20,22,7,6,0,1,0,0
S00138204,11,13,2,7,2,0,1,1
S00138205,14,19,11,10,0,0,0,0
S00138206,32,26,7,4,1,0,0,0
S00138207,24,17,6,0,0,0,1,0
S00138208,15,17,8,9,6,1,0,1
S00138209,46,23,4,4,1,0,0,1
S00138210,7,25,8,13,0,0,0,0
S00138211,17,23,6,8,1,1,0,0
S00138212,26,28,8,9,3,1,1,0
S00138213,31,25,6,1,0,0,0,0
S00138214,38,29,8,1,1,0,1,0
S00138215,7,14,4,8,1,1,0,0
S00138216,30,24,11,4,1,1,1,0
S00138217,10,24,15,2,2,0,0,0
S00138218,20,17,4,4,0,0,0,0
S00138219,14,17,3,2,0,0,1,0
S00138220,36,10,9,6,0,0,2,0
S00138221,18,23,0,5,0,0,0,0
S00138222,14,26,8,10,2,1,1,0
S00138223,17,17,1,0,0,1,0,2
S00138224,28,20,12,5,0,0,0,0
S00138225,18,27,3,1,0,0,0,0
S00138226,29,21,7,10,1,1,1,0
S00138227,10,19,7,4,0,0,0,1
S00138228,22,34,5,6,1,0,0,0
S00138229,9,24,10,13,2,1,0,0
S00138230,5,17,4,5,1,1,0,0
S00138231,1,21,12,3,2,1,1,2
S00138232,8,17,7,5,0,0,0,1
S00138233,20,29,8,8,0,1,1,0
S00138234,9,14,9,4,2,0,1,2
S00138235,22,31,9,11,1,0,0,0
S00138236,11,31,15,7,5,1,0,0
S00138237,10,24,5,6,2,3,1,0
S00138238,23,33,4,9,1,0,0,0
S00138239,6,23,15,16,2,1,1,1
S00138240,6,8,6,10,4,0,1,2
S00138241,9,11,9,12,5,2,1,0
S00138242,14,16,6,8,2,0,0,0
S00138243,19,21,9,6,1,0,0,0
S00138244,9,25,9,7,3,1,1,0
S00138245,14,14,5,6,4,1,0,0
S00138246,15,39,9,16,5,1,0,0
S00138247,9,18,10,12,2,1,1,1
S00138248,9,19,3,16,1,2,0,1
S00138249,22,30,11,10,3,2,2,0
S00138250,18,32,14,12,3,1,0,0
S00138251,31,20,3,1,2,1,0,0
S00138252,7,19,11,8,5,1,0,0
S00138253,12,28,5,2,1,1,1,0
S00138254,20,32,13,7,3,0,1,0
S00138255,28,13,6,5,5,0,0,0
S00138256,29,12,5,3,0,2,0,1
S00138257,12,8,6,7,2,1,0,1
S00138258,13,27,3,7,3,1,0,0
S00138259,13,13,9,6,1,0,2,0
S00138260,11,26,11,9,8,0,0,0
S00138261,42,21,7,5,3,0,0,0
S00138262,14,26,3,5,0,1,0,0
S00138263,20,20,3,5,0,0,1,0
S00138264,19,20,12,7,1,0,1,1
S00138265,2,16,6,12,3,0,1,0
S00138266,4,7,13,20,2,1,0,0
S00138267,19,22,5,4,2,0,0,1
S00138268,1,7,8,14,5,0,0,0
S00138269,6,23,13,11,4,0,1,0
S00138270,27,31,10,3,1,0,0,0
S00138271,16,23,5,7,1,0,0,0
S00138272,10,12,8,6,4,1,0,0
S00138273,3,18,16,18,5,0,0,1
S00138274,4,7,7,8,2,0,1,0
S00138275,6,14,16,18,5,0,0,0
S00138276,11,22,11,15,5,1,0,0
S00138277,9,20,9,3,1,0,0,0
S00138278,13,21,10,12,2,0,0,0
S00138279,19,32,4,5,2,0,0,1
S00138280,3,10,13,8,5,0,0,0
S00138281,11,19,13,5,1,1,0,1
S00138282,11,24,3,11,1,0,0,0
S00138283,9,12,12,10,0,0,1,0
S00138284,12,30,9,15,2,1,0,0
S00138285,13,16,6,14,0,0,0,0
S00138286,11,29,8,7,1,0,1,1
S00138287,20,22,5,2,4,1,0,0
S00138288,4,13,11,9,2,0,1,1
S00138289,20,8,6,2,0,1,2,1
S00138290,7,19,3,13,2,1,0,0
S00138291,6,18,4,3,5,1,3,0
S00138292,10,14,5,12,0,0,1,0
S00138293,19,36,15,13,0,1,0,0
S00138294,4,16,2,14,1,1,0,1
S00138295,3,16,10,12,3,2,0,0
S00138296,6,7,11,6,1,0,2,0
S00138297,6,13,13,15,1,1,1,0
S00138298,20,21,3,6,0,1,0,1
S00138299,11,31,9,10,1,0,0,0
S00138300,7,17,16,8,1,0,0,0
S00138301,19,13,7,5,1,1,1,0
S00138302,7,29,10,6,2,1,0,1
S00138303,25,28,7,4,1,2,0,1
S00138304,15,26,8,11,2,0,0,0
S00138305,14,31,5,6,0,0,1,0
S00138306,11,29,22,17,2,4,0,0
S00138307,28,20,5,5,1,2,0,0
S00138308,23,26,12,6,1,1,0,0
S00138309,14,30,6,14,5,1,0,0
S00138310,5,14,3,9,1,0,0,1
S00138311,24,34,6,1,0,0,0,1
S00138312,12,18,7,7,4,0,0,0
S00138313,25,23,4,0,3,0,1,0
S00138314,28,14,11,4,2,2,0,0
S00138315,13,20,9,10,3,0,0,0
S00138316,13,25,6,7,3,1,0,0
S00138317,14,22,6,6,2,0,0,1
S00138318,11,18,3,7,1,0,0,2
S00138319,27,19,10,4,1,1,0,0
S00138320,22,26,14,7,5,1,0,0
S00138321,7,25,8,9,3,0,0,1
S00138322,13,31,17,9,0,1,0,0
S00138323,12,23,9,8,2,1,0,1
S00138324,7,38,14,12,2,0,0,1
S00138325,15,11,6,11,0,0,0,0
S00138326,12,22,8,17,4,0,0,1
S00138327,8,15,4,0,3,1,0,0
S00138328,6,22,9,7,0,0,0,0
S00138329,15,40,11,10,1,0,0,0
S00138330,8,7,3,10,1,0,0,0
S00138331,15,30,9,1,0,2,0,1
S00138332,9,33,7,5,3,2,0,0
S00138333,11,22,3,6,2,3,0,0
S00138334,4,24,7,14,4,2,0,1
S00138335,17,19,15,6,0,1,2,0
S00138336,6,23,18,8,9,1,0,0
S00138337,11,27,11,10,1,0,1,0
S00138338,14,16,7,1,2,3,0,0
S00138339,5,26,11,12,0,0,0,1
S00138340,2,16,3,10,1,0,1,0
S00138341,8,14,8,6,2,0,2,0
S00138342,5,11,11,12,3,0,0,1
S00138343,6,20,3,16,2,0,0,0
S00138344,19,18,5,6,0,1,0,0
S00138345,20,38,8,8,1,0,1,0
S00138346,17,33,8,11,3,0,1,1
S00138347,14,35,13,10,3,0,1,2
S00138348,10,24,10,6,4,2,0,0
S00138349,20,16,2,5,0,0,0,0
S00138350,14,21,10,13,4,3,0,0
S00138351,20,17,11,9,1,0,0,0
S00138352,8,25,11,13,0,0,0,0
S00138353,7,29,18,15,6,0,0,1
S00138354,14,22,10,18,1,1,0,1
S00138355,11,31,7,7,0,1,0,0
S00138356,26,44,3,3,2,0,0,0
S00138357,9,40,4,5,3,1,0,1
S00138358,9,14,7,7,3,0,0,2
S00138359,24,31,12,11,4,0,2,2
S00138360,3,13,7,6,2,0,0,1
S00138361,27,23,10,11,0,0,0,2
S00138362,12,18,14,19,0,3,1,0
S00138363,6,16,13,20,4,0,0,1
S00138364,11,32,10,6,3,2,0,1
S00138365,10,22,11,15,3,2,0,0
S00138366,3,12,15,9,2,0,1,0
S00138367,4,16,14,23,3,3,0,0
S00138368,16,20,13,5,0,0,2,0
S00138369,14,16,15,19,5,0,0,1
S00138370,20,42,8,7,3,0,1,0
S00138371,7,14,10,8,4,0,0,0
S00138372,15,10,8,2,1,2,1,1
S00138373,20,26,10,6,0,1,0,0
S00138374,16,23,6,2,0,0,1,1
S00138375,5,14,17,33,4,0,0,0
S00138376,5,17,8,26,8,0,0,0
S00138377,7,12,21,15,2,0,0,0
S00138378,14,32,11,7,3,2,2,0
S00138379,29,17,3,1,1,0,0,1
S00138380,11,22,7,5,0,0,0,0
S00138381,8,19,7,17,5,0,0,1
S00138382,6,24,6,5,4,1,0,0
S00138383,5,28,18,24,5,1,0,0
S00138384,22,35,10,6,1,0,1,0
S00138385,5,10,13,22,5,1,0,0
S00138386,10,12,20,13,4,3,0,1
S00138387,3,18,15,23,1,0,0,1
S00138388,27,17,8,8,0,2,0,1
S00138389,7,14,5,8,0,1,0,1
S00138390,27,15,6,3,2,0,1,0
S00138391,6,11,4,8,0,0,1,0
S00138392,13,29,6,2,1,0,0,0
S00138393,10,21,18,8,2,0,0,0
S00138394,18,15,10,7,1,2,2,1
S00138395,16,27,9,8,1,1,0,0
S00138396,11,13,8,9,2,0,0,2
S00138397,4,21,6,7,0,0,0,0
S00138398,15,15,6,11,1,1,1,1
S00138399,25,19,8,0,0,0,0,0
S00138400,29,28,4,5,1,1,0,0
S00138401,14,13,3,4,3,1,0,1
S00138402,14,32,5,5,2,0,2,0
S00138403,2,13,10,21,2,0,0,0
S00138404,29,11,5,1,1,3,1,1
S00138405,7,19,9,11,2,0,0,2
S00138406,11,25,9,10,3,0,0,1
S00138407,22,18,4,5,0,0,0,0
S00138408,30,19,11,6,2,1,1,0
S00138409,26,4,6,8,1,2,0,0
S00138410,13,10,3,5,0,0,0,0
S00138411,24,14,0,5,1,1,0,0
S00138412,57,18,3,0,0,0,1,0
S00138413,25,5,5,1,1,0,2,0
S00138414,24,24,4,0,2,1,0,0
S00138415,14,10,3,8,1,1,0,2
S00138416,28,27,4,1,1,0,0,0
S00138417,7,32,14,8,1,0,0,0
S00138418,12,19,7,3,1,2,0,0
S00138419,30,15,5,0,1,0,0,0
S00138420,27,21,5,0,1,1,0,0
S00138421,26,22,10,3,3,0,1,0
S00138422,3,14,8,9,1,2,0,0
S00138423,9,10,10,12,0,0,0,0
S00138424,20,28,5,0,1,1,0,1
S00138425,21,15,1,1,1,1,0,0
S00138426,25,14,4,1,1,0,1,0
S00138427,24,15,2,1,4,1,1,1
S00138428,35,24,6,3,0,0,1,1
S00138429,34,14,7,3,1,0,0,0
S00138430,17,28,13,10,2,2,0,0
S00138431,2,13,6,9,1,0,1,0
S00138432,23,31,5,2,1,1,0,1
S00138433,33,20,7,4,0,1,0,1
S00138434,16,31,5,7,2,0,0,2
S00138435,14,39,6,12,2,1,2,0
S00138436,9,16,11,14,1,0,0,1
S00138437,28,23,6,3,1,1,1,0
S00138438,7,10,7,13,1,0,0,1
S00138439,13,14,3,1,0,3,1,0
S00138440,27,12,6,1,0,0,0,0
S00138441,9,16,5,6,0,1,0,2
S00138442,47,41,3,2,0,2,1,0
S00138443,18,16,3,2,0,1,1,1
S00138444,32,16,9,3,0,1,1,0
S00138445,11,40,7,5,3,1,0,0
S00138446,37,14,1,3,1,1,1,0
S00138447,23,31,6,9,3,0,0,0
S00138448,8,20,8,17,3,0,0,1
S00138449,15,29,8,12,2,0,1,0
S00138450,28,9,2,1,1,1,1,1
S00138451,37,20,4,3,1,1,0,0
S00138452,48,25,5,0,0,0,0,2
S00138453,47,8,0,1,1,0,0,0
S00138454,36,30,3,1,0,0,1,1
S00138455,48,27,3,1,1,1,0,1
S00138456,47,28,2,2,0,0,4,0
S00138457,45,9,0,0,1,0,0,1
S00138458,13,18,16,8,0,3,0,0
S00138459,9,29,8,15,3,0,0,0
S00138460,12,14,14,11,0,0,0,0
S00138461,8,13,5,5,0,2,0,0
S00138462,26,13,3,3,0,0,0,1
S00138463,36,38,4,7,1,1,0,1
S00138464,22,11,2,1,2,0,0,0
S00138465,10,23,15,8,4,0,1,0
S00138466,37,17,5,8,1,0,0,0
S00138467,20,18,7,5,1,0,0,0
S00138468,4,15,5,6,0,0,0,0
S00138469,13,22,9,7,4,0,1,0
S00138470,10,22,10,21,1,0,1,1
S00138471,3,14,6,0,3,0,0,0
S00138472,6,18,2,2,1,0,0,1
S00138473,8,23,10,7,7,3,0,0
S00138474,15,8,10,4,1,1,2,0
S00138475,11,10,3,8,0,1,2,0
S00138476,21,18,5,7,0,2,0,0
S00138477,15,22,6,2,0,0,0,0
S00138478,22,28,4,6,0,0,1,0
S00138479,18,23,5,10,1,1,0,0
S00138480,22,33,9,2,5,0,0,0
S00138481,33,35,9,4,1,0,0,0
S00138482,29,27,4,4,2,0,1,0
S00138483,5,13,2,6,1,0,0,0
S00138484,53,10,3,0,0,0,0,0
S00138485,46,18,7,4,1,0,0,0
S00138486,30,17,4,2,0,0,0,0
S00138487,15,29,3,3,3,2,1,0
S00138488,18,21,14,4,1,0,0,0
S00138489,5,14,7,8,4,1,1,0
S00138490,17,25,13,6,5,1,1,3
S00138491,14,28,12,5,0,0,0,0
S00138492,19,29,7,2,0,0,2,0
S00138493,13,21,9,7,2,6,0,0
S00138494,9,25,6,6,0,3,0,0
S00138495,25,10,4,5,1,0,0,0
S00138496,13,19,8,10,1,0,0,0
S00138497,22,13,14,12,3,1,1,1
S00138498,11,16,12,13,8,0,0,0
S00138499,18,28,15,11,5,0,0,2
S00138500,29,32,10,5,0,0,0,1
S00138501,19,14,3,4,1,0,0,2
S00138502,13,28,13,2,0,0,0,1
S00138503,22,11,8,4,4,1,0,1
S00138504,11,28,10,4,4,3,0,1
S00138505,7,17,15,13,2,1,0,0
S00138506,11,17,10,24,2,0,0,0
S00138507,12,17,5,8,0,0,0,0
S00138508,23,14,8,3,2,0,0,0
